Linux 6.14.0-33-generic (revathy-Lenovo-ideapad-130-15IKB) 	11/23/2025 	_x86_64_	(8 CPU)

01:09:55 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:10:00 PM   122     34922    0.99    0.00    0.00    0.00    0.99     4  postgres
01:10:00 PM   122     34923    0.99    0.00    0.00    0.00    0.99     6  postgres
01:10:00 PM   122     34930    0.99    0.00    0.00    0.00    0.99     7  postgres
01:10:00 PM   122     34933    0.99    0.00    0.00    0.00    0.99     6  postgres
01:10:00 PM   122     34935    0.99    0.00    0.00    0.00    0.99     6  postgres
01:10:00 PM   122     34940    0.00    0.99    0.00    0.00    0.99     3  postgres
01:10:00 PM   122     34949    0.99    0.00    0.00    0.00    0.99     5  postgres
01:10:00 PM   122     34956    0.99    0.00    0.00    0.00    0.99     1  postgres
01:10:00 PM   122     34963    0.99    0.00    0.00    0.00    0.99     6  postgres
01:10:00 PM   122     34964    0.99    0.00    0.00    0.00    0.99     5  postgres
01:10:00 PM   122     34974    0.99    0.00    0.00    0.00    0.99     7  postgres
01:10:00 PM   122     34977    0.99    0.00    0.00    0.00    0.99     6  postgres
01:10:00 PM   122     34981    0.99    0.00    0.00    0.00    0.99     5  postgres
01:10:00 PM   122     34982    0.99    0.00    0.00    0.00    0.99     5  postgres
01:10:00 PM   122     34984    0.99    0.00    0.00    0.00    0.99     7  postgres
01:10:00 PM   122     34988    0.99    0.00    0.00    0.00    0.99     7  postgres
01:10:00 PM   122     34989    0.99    0.00    0.00    0.00    0.99     6  postgres
01:10:00 PM     0     34996    0.00    3.96    0.00    0.00    3.96     5  kworker/u32:4-events_unbound
01:10:00 PM  1000     34999    0.99    1.98    0.00    0.00    2.97     7  pidstat
01:10:00 PM  1000     35001   77.23   27.72    0.00    0.00  104.95     1  load_generator

01:10:00 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:10:01 PM     0        18    0.00    1.00    0.00    0.00    1.00     7  rcu_preempt
01:10:01 PM  1000      2244    1.00    0.00    0.00    0.00    1.00     1  gnome-shell
01:10:01 PM     0     32339    0.00    2.00    0.00    0.00    2.00     5  kworker/u32:0-events_unbound
01:10:01 PM  1000     32490   24.00   21.00    0.00    0.00   45.00     4  gnome-terminal-
01:10:01 PM     0     33399    0.00    2.00    0.00    0.00    2.00     6  kworker/u32:2+events_unbound
01:10:01 PM  1000     34894   71.00   24.00    0.00    0.00   95.00     0  server
01:10:01 PM   122     34914    1.00    0.00    0.00    0.00    1.00     2  postgres
01:10:01 PM   122     34921    1.00    1.00    0.00    0.00    2.00     7  postgres
01:10:01 PM   122     34931    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:01 PM   122     34934    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:01 PM   122     34940    1.00    0.00    0.00    0.00    1.00     4  postgres
01:10:01 PM   122     34941    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:01 PM   122     34944    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:01 PM   122     34945    1.00    0.00    0.00    0.00    1.00     6  postgres
01:10:01 PM   122     34946    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:01 PM   122     34947    1.00    0.00    0.00    0.00    1.00     3  postgres
01:10:01 PM   122     34950    1.00    0.00    0.00    0.00    1.00     6  postgres
01:10:01 PM   122     34959    1.00    0.00    0.00    0.00    1.00     6  postgres
01:10:01 PM   122     34960    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:01 PM   122     34961    1.00    0.00    0.00    0.00    1.00     1  postgres
01:10:01 PM   122     34962    1.00    0.00    0.00    0.00    1.00     6  postgres
01:10:01 PM   122     34967    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:01 PM   122     34968    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:01 PM   122     34972    1.00    0.00    0.00    0.00    1.00     3  postgres
01:10:01 PM   122     34973    1.00    0.00    0.00    0.00    1.00     4  postgres
01:10:01 PM   122     34975    1.00    0.00    0.00    0.00    1.00     4  postgres
01:10:01 PM   122     34976    1.00    0.00    0.00    0.00    1.00     1  postgres
01:10:01 PM   122     34978    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:01 PM     0     34996    0.00    2.00    0.00    0.00    2.00     4  kworker/u32:4-events_unbound
01:10:01 PM  1000     34999    1.00    2.00    0.00    0.00    3.00     7  pidstat
01:10:01 PM  1000     35001   80.00   28.00    0.00    0.00  108.00     1  load_generator

01:10:01 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:10:02 PM     0         1    1.00    0.00    0.00    0.00    1.00     7  systemd
01:10:02 PM   123      1231    0.00    1.00    0.00    0.00    1.00     6  mysqld
01:10:02 PM  1000      2244    1.00    1.00    0.00    0.00    2.00     6  gnome-shell
01:10:02 PM     0     32339    0.00    3.00    0.00    0.00    3.00     6  kworker/u32:0-events_unbound
01:10:02 PM  1000     32490   21.00   23.00    0.00    0.00   44.00     1  gnome-terminal-
01:10:02 PM     0     33259    0.00    1.00    0.00    0.00    1.00     3  kworker/u33:3-i915_flip
