Linux 6.14.0-33-generic (revathy-Lenovo-ideapad-130-15IKB) 	11/23/2025 	_x86_64_	(8 CPU)

12:51:24 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:51:27 PM   122     33883    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:27 PM   122     33884    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:27 PM   122     33887    1.00    0.00    0.00    0.00    1.00     2  postgres
12:51:27 PM   122     33899    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:27 PM   122     33902    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:27 PM   122     33903    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:27 PM   122     33906    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:27 PM   122     33909    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:27 PM   122     33924    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:27 PM   122     33931    0.00    1.00    0.00    0.00    1.00     1  postgres
12:51:27 PM   122     33935    1.00    0.00    0.00    0.00    1.00     2  postgres
12:51:27 PM   122     33938    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:27 PM   122     33941    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:27 PM   122     33942    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:27 PM  1000     33968   79.00   28.00    0.00    0.00  107.00     4  load_generator
12:51:27 PM  1000     33983    1.00    2.00    0.00    0.00    3.00     6  pidstat

12:51:27 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:51:28 PM  1000      2244    4.00    0.00    0.00    0.00    4.00     2  gnome-shell
12:51:28 PM  1000     31777    2.00    1.00    0.00    0.00    3.00     5  Isolated Web Co
12:51:28 PM  1000     31779    0.00    1.00    0.00    0.00    1.00     6  Isolated Web Co
12:51:28 PM     0     32452    0.00    2.00    0.00    0.00    2.00     5  kworker/u32:3-events_unbound
12:51:28 PM  1000     32490   22.00   23.00    0.00    0.00   45.00     5  gnome-terminal-
12:51:28 PM  1000     32683    1.00    0.00    0.00    0.00    1.00     7  top
12:51:28 PM     0     33399    0.00    2.00    0.00    0.00    2.00     6  kworker/u32:2-events_unbound
12:51:28 PM     0     33725    0.00    4.00    0.00    0.00    4.00     4  kworker/u32:4-events_unbound
12:51:28 PM  1000     33852   71.00   22.00    0.00    0.00   93.00     0  server
12:51:28 PM   122     33854    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:28 PM   122     33864    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:28 PM   122     33871    1.00    0.00    0.00    0.00    1.00     2  postgres
12:51:28 PM   122     33872    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:28 PM   122     33874    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:28 PM   122     33877    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:28 PM   122     33884    0.00    1.00    0.00    0.00    1.00     7  postgres
12:51:28 PM   122     33890    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:28 PM   122     33904    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:28 PM   122     33910    1.00    0.00    0.00    0.00    1.00     1  postgres
12:51:28 PM   122     33931    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:28 PM   122     33933    1.00    0.00    0.00    0.00    1.00     2  postgres
12:51:28 PM   122     33940    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:28 PM   122     33943    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:28 PM   122     33947    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:28 PM   122     33948    1.00    0.00    0.00    0.00    1.00     4  postgres
12:51:28 PM  1000     33968   87.00   25.00    0.00    0.00  112.00     4  load_generator
12:51:28 PM  1000     33983    1.00    1.00    0.00    0.00    2.00     2  pidstat

12:51:28 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:51:29 PM     0        18    0.00    1.00    0.00    0.00    1.00     2  rcu_preempt
12:51:29 PM     0       405    0.00    1.00    0.00    0.00    1.00     7  systemd-udevd
12:51:29 PM   990       705    1.00    0.00    0.00    0.00    1.00     6  systemd-oomd
12:51:29 PM     0       730    0.00    1.00    0.00    0.00    1.00     0  irq/135-rtw88_pci
12:51:29 PM   123      1231    1.00    0.00    0.00    0.00    1.00     6  mysqld
12:51:29 PM  1000      2244    1.00    0.00    0.00    0.00    1.00     6  gnome-shell
12:51:29 PM  1000     32490   21.00   24.00    0.00    0.00   45.00     4  gnome-terminal-
12:51:29 PM     0     33399    0.00    3.00    0.00    0.00    3.00     6  kworker/u32:2-events_unbound
12:51:29 PM     0     33725    0.00    3.00    0.00    0.00    3.00     6  kworker/u32:4-events_unbound
12:51:29 PM  1000     33852   72.00   23.00    0.00    0.00   95.00     0  server
12:51:29 PM   122     33856    1.00    0.00    0.00    0.00    1.00     1  postgres
12:51:29 PM   122     33857    1.00    0.00    0.00    0.00    1.00     4  postgres
12:51:29 PM   122     33860    1.00    0.00    0.00    0.00    1.00     3  postgres
12:51:29 PM   122     33861    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:29 PM   122     33863    1.00    0.00    0.00    0.00    1.00     2  postgres
12:51:29 PM   122     33864    0.00    1.00    0.00    0.00    1.00     5  postgres
12:51:29 PM   122     33868    0.00    1.00    0.00    0.00    1.00     6  postgres
12:51:29 PM   122     33878    1.00    0.00    0.00    0.00    1.00     4  postgres
12:51:29 PM   122     33879    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:29 PM   122     33880    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:29 PM   122     33886    1.00    0.00    0.00    0.00    1.00     3  postgres
12:51:29 PM   122     33888    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:29 PM   122     33889    0.00    1.00    0.00    0.00    1.00     7  postgres
12:51:29 PM   122     33893    0.00    1.00    0.00    0.00    1.00     6  postgres
12:51:29 PM   122     33894    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:29 PM   122     33897    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:29 PM   122     33900    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:29 PM   122     33911    1.00    0.00    0.00    0.00    1.00     2  postgres
12:51:29 PM   122     33913    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:29 PM   122     33914    1.00    0.00    0.00    0.00    1.00     1  postgres
12:51:29 PM   122     33915    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:29 PM   122     33918    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:29 PM   122     33921    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:29 PM   122     33923    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:29 PM   122     33927    1.00    0.00    0.00    0.00    1.00     6  postgres
